recipeId,ingredientId,quantity,quantity_type,required
1,112,175,g,1
1,41,75,g,1
1,33,200,g,1
1,282,75,g,1
1,52,75,g,1
1,141,2,,1
1,169,75,g,1
1,550,1,tsp,1
1,135,50,g,1
2,248,120,g,1
2,52,60,g,1
2,41,60,g,1
2,464,300,g,1
2,41,30,g,1
2,110,30,g,1
2,462,120,g,1
2,84,0.25,teaspoon,1
2,181,0,to serve,1
3,211,200,ml,1
3,223,60,ml,1
3,123,2,,1
3,137,1600,g,1
3,15,3,tsp,1
3,281,0.5,tsp,1
3,491,25,g,1
3,305,45,g,1
3,238,3,tbs,1
4,70,6,,1
4,57,16,,1
4,154,1 1/2,,1
4,150,6,,1
4,53,8,,1
4,320,2,tbs,1
4,104,1 1/2,,1
4,95,1 1/2,,1
4,393,1 1/2,,1
4,309,2,tbs,1
4,91,1,can,1
4,305,1,tsp,1
4,333,1,cup,1
5,248,175,g,1
5,73,75,g,1
5,93,3.00,tbsp,1
5,256,1,tbsp,1
5,41,125,g,1
5,52,125,g,1
5,169,125,g,1
5,140,1,,1
5,550,0.5,tsp,1
5,135,50,g,1
6,41,25,g,1
6,35,8,thin slices,1
6,306,50,g,1
6,84,2,tsp,1
6,211,350,ml/12fl,1
6,115,50,ml,1
6,123,2,free-range,1
6,305,25,g,1
6,222,0,grated to taste,1
7,218,400,g,1
7,125,2.00,tbsp,1
7,224,0,Dash,1
7,24,750,g piece,1
7,233,7.00,slices,1
7,255,500,g,1
7,137,0,Dusting,1
7,122,2,Beaten,1
8,11,1,large,1
8,364,0.5,cup,1
8,317,1,cup,1
8,149,6,cloves,1
8,165,1,,1
8,261,0.25,teaspoon,1
8,223,1.5,tablespoon,1
8,96,1,tablespoon chopped,1
8,281,0,as required,1
9,23,4.00,pound,1
9,281,0,Dash,1
9,364,3,,1
9,149,5,cloves,1
9,313,1,Sprig,1
9,396,1,sprig,1
9,21,4,,1
9,26,2,cups,1
9,49,3,Large,1
9,219,1,Tbsp,1
9,253,4,Mashed,1
10,3,8,slices,1
10,37,12,florets,1
10,253,1,Packet,1
10,49,1,Packet,1
10,248,140,g,1
10,123,4,,1
10,211,200,ml,1
10,307,0,drizzle (for cooking),1
11,3,1,kg,1
11,227,3,,1
11,149,4,cloves,1
11,224,0,Dash,1
11,81,300,g,1
11,104,2,tsp,1
11,548,2,tsp,1
11,87,1,tsp,1
11,85,1,large,1
11,21,3,,1
11,230,2,tsp dried,1
11,545,2,ancho,1
11,16,3,tbsp,1
11,249,800,g,1
11,315,2,tbsp,1
11,107,2,tbsp,1
11,31,800,g tins,1
12,224,1,tbls,1
12,227,1,,1
12,149,1,clove,1
12,41,1,tbsp,1
12,218,250,g,1
12,24,500,g,1
12,248,1,tbsp,1
12,101,150,g,1
12,125,1,tbsp,1
12,26,100,ml,1
12,237,0,Topping,1
13,378,2,tblsp,1
13,364,1,finely chopped,1
13,55,1,,1
13,196,1,sliced,1
13,253,1,medium,1
13,41,1,knob,1
13,328,1,litre hot,1
13,37,1,Head chopped,1
13,379,140,g,1
14,283,8,large,1
14,399,1,Jar,1
14,397,1200,g,1
14,30,1,tbls,1
14,125,1,tsp,1
15,407,1,large,1
15,123,2,medium,1
15,15,0,pinch,1
15,324,0,sprinkling,1
15,223,1,tsp,1
15,411,25,g,1
15,408,125,g,1
16,224,2,tbs,1
16,41,25,g,1
16,3,750,g,1
16,248,2,tblsp,1
16,149,2,cloves minced,1
16,227,175,g,1
16,55,150,g,1
16,49,150,g,1
16,196,2,chopped,1
16,447,200,g,1
16,266,150,ml,1
16,26,500,g,1
16,20,2,,1
16,313,3,tbs,1
16,237,3,tblsp chopped,1
16,248,125,g,1
16,15,1,tsp,1
16,446,60,g,1
16,333,0,Splash,1
17,3,1,kg,1
17,248,2,tbs,1
17,378,2,tbs,1
17,266,200,ml,1
17,26,400,ml,1
17,364,1,finely sliced,1
17,49,2,chopped,1
17,313,3,sprigs,1
17,219,2,tbs,1
17,122,2,free-range,1
17,255,400,g,1
17,163,300,g,1
17,41,25,g,1
17,281,0,pinch,1
17,244,0,pinch,1
18,3,900,g,1
18,224,3,tbs,1
18,289,3,,1
18,149,2,cloves minced,1
18,14,125,g,1
18,313,1,tbs chopped,1
18,20,2,,1
18,450,330,ml,1
18,26,400,ml,1
18,354,2,tbs,1
18,449,8,,1
18,248,400,g,1
18,281,0,pinch,1
18,41,250,g,1
18,123,0,To Glaze,1
19,463,50,g,1
19,41,125,g,1
19,52,150,g,1
19,197,0,Grated,1
19,248,150,g,1
19,15,0.5,tsp,1
19,462,600,g,1
19,305,75,g,1
19,52,2,tbs,1
19,198,1,tbs,1
19,115,300,ml,1
19,343,100,ml,1
19,214,0,Garnish with,1
20,41,175,g,1
20,52,175,g,1
20,286,140,g,1
20,471,50,g,1
20,15,0.5,tsp,1
20,123,3,Medium,1
20,324,0.5,tsp,1
20,550,0.25,teaspoon,1
20,41,175,g,1
20,52,175,g,1
20,286,140,g,1
20,471,50,g,1
20,15,0.5,tsp,1
20,123,3,Medium,1
20,324,0.5,tsp,1
20,550,0.25,teaspoon,1
20,466,0.5,tsp,1
20,382,200,g,1
20,470,1,kg,1
20,347,0,Dusting,1
21,391,3,tsp,1
21,484,600,g,1
21,14,100,g,1
21,57,350,g,1
21,63,250,g,1
21,150,2,sliced,1
21,485,1,,1
21,316,1,tbs,1
21,266,750,ml,1
